"id","District","Market","custname","city","ContractDate","grossamount","job_id","contractid","ProductID","ProductID2","ProductID3","ProductID4","Status","Subsourcedescr","TotalDue","Phone","Email","MostRecentNoteHOA","FinanceSource1","FinanceSource2","FinanceSource3","fullname","SDate","EDate","xjbs_id","CurrentDateTime","UseColor"
"406132","FTMYR","FTMYR","Surname0000, Given0000","City0000","03/01/26","9990","56876","34678","Door","","","","Credit Decline","Google Service Ads","0.0000","(555)555-0000","person0000@example.com","","Finance","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"403630","ORL","ORL","Surname0001, Given0001","City0001","03/01/26","32400","56877","34705","Win","","","","Cancelled","Canvass","0.0000","(555)555-0001","person0001@example.com","","Finance","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"406722","STPET","STPET","Surname0002, Given0002","City0002","03/01/26","14000","56878","34675","Win","","","","Cancelled","Lead Gurus","0.0000","(555)555-0002","person0002@example.com","","Finance","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"403313","ORL","ORL","Surname0003, Given0003","City0003","03/02/26","28917","56880","34708","Win","","","","Paid In Full","Lead Gurus","0.0000","(555)555-0003","person0003@example.com","","WaterCress","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"403478","STPET","STPET","Surname0004, Given0004","City0004","03/02/26","41000","56881","34757","Win","","","","Paid In Full","Customer Referral","0.0000","(555)555-0004","person0004@example.com","","Cash","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"284190","ORL","ORL","Surname0005, Given0005","City0005","03/02/26","7500","56882","34707","Win","","","","Paid In Full","Lead Gurus","0.0000","(555)555-0005","person0005@example.com","03/30/2026 - Xxxxx, Xxxxxxxx - XXX xxxxxxxx","Cash","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"405701","ORL","ORL","Surname0006, Given0006","City0006","03/02/26","22260","56883","34736","Win","","","","Credit Decline","MyHomePros","0.0000","(555)555-0006","person0006@example.com","","Finance","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"406297","STPET","STPET","Surname0007, Given0007","City0007","03/02/26","18500","56884","34758","Win","","","","Paid In Full","Billboard","0.0000","(555)555-0007","person0007@example.com","","Medallion Bank","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"405969","ORL","ORL","Surname0008, Given0008","City0003","03/02/26","6292","56886","34700","Win","","","","Cancelled","Reecewindows.com","0.0000","(555)555-0008","person0008@example.com","","Credit Card","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"405845","SAR","SAR","Surname0009, Given0009","City0008","03/02/26","16955","56887","34759","Win","","","","Paid In Full","Customer Referral","0.0000","(555)555-0009","person0009@example.com","03/19/2026 - Xxxxxx, Xxxxxxx - XXX Xxxxxxxx xxxxxxxx xxx xxxxxxxx xx XX.","Service Finance","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"407129","MIAMI","MIAMI","Surname0010, Given0010","City0009","03/02/26","14755","56888","34696","Win","","","","Cancelled","Google PPC Windows","0.0000","(555)555-0010","person0010@example.com","","Medallion Bank","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"407097","STPET","STPET","Surname0011, Given0011","City0007","03/02/26","16000","56890","34760","Win","","","","Paid In Full","Canvass","0.0000","(555)555-0011","person0011@example.com","","Medallion Bank","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
"62116","STPET","STPET","Surname0012, Given0012","City0010","03/02/26","10500","56891","34743","Door","","","","Installed & Unpaid","Canvass","4750","(555)555-0012","person0012@example.com","","Cash","","","Dana Whitfield","3/1/2026","3/31/2026","All","8/7/2026 3:00:10 PM","True"
