"Category","lastname","FirstName","id","Phone","Address1","city","state","Zip","CSZ","Email","entrydate","productid","lastresult","clq_id","cqd_id","dsp_id","src_id","sds_id","brn_id","PromoterName","SourceSubDescr","lr","dspdescr","NumDials","NumSuperseded","LastCallDescr","GSA","NetAmount","ApptDate","JobStatus","FullName","SDate","EDate","xsrc_id","xbrn_id","xSourceSubDescr","xPromoter","CurrentDateTime","UseColor","xGrade"
"Out-of-Area","Surname0000","Given0000","396783","","","","","",",","person0000@example.com","2/1/2026","","","1","26","Data","Internet","","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","","Data-Data Only - No Appt","0","0","","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","Surname0001","Given0001","396725","(555)555-0001","","","nu","",", nu","","2/1/2026","","DNC","0","0","DNC","Internet","Nash","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","DNC","DNC-Do Not Call","4","0","Asked DNC","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","Surname0002","Given0002","396852","(555)555-0002","","","","32904",",     32904","person0002@example.com","2/1/2026","","HU","0","0","Data","Website","","","Internet, Socius Marketing","Instagram","HU","Data-Data Only - No Appt","17","0","Hung Up","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","Surname0003","Given0003","396757","(555)555-0003","","","nu","",", nu","person0003@example.com","2/1/2026","","DNC","0","0","Data","Internet","","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","DNC","Data-Data Only - No Appt","6","0","Asked DNC","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","Surname0004","Given0004","396698","(555)555-0004","104 Example St","City0000","FL","33876","City0000, FL  33876","person0004@example.com","2/1/2026","","DNC","0","0","Data","Internet","","","Internet, Lead Gurus","Lead Gurus","DNC","Data-Data Only - No Appt","7","0","Asked DNC","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","Surname0005","Given0005","396699","(555)555-0005","","","","32926",",     32926","person0005@example.com","2/1/2026","","NI","0","0","Data","Website","","","Internet, Socius Marketing","Facebook","NI","Data-Data Only - No Appt","3","0","No Interest Now","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","Surname0006","Given0006","396707","(555)555-0006","106 Example St","City0001","FL","32304","City0001, FL  32304","person0006@example.com","2/1/2026","","NI","0","0","Data","Internet","","","Internet, Lead Gurus","Lead Gurus","NI","Data-Data Only - No Appt","2","0","No Interest Now","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","Surname0007","Given0007","396846","(555)555-0007","","","","",",","person0007@example.com","2/1/2026","","OS","0","0","Data","Internet","","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","OS","Data-Data Only - No Appt","1","0","Can't Do Project","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","","Given0008","396869","(555)555-0008","","","","",",","","2/2/2026","","NA","0","0","Data","Iheart","","","","Simpletext","NA","Data-Data Only - No Appt","29","0","No Answer","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","","","396884","(555)555-0009","","","","",",","","2/2/2026","","HU","0","0","Data","Iheart","","","","Simpletext","HU","Data-Data Only - No Appt","7","0","Hung Up","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","","","396885","(555)555-0010","","","","",",","","2/2/2026","","NA","0","0","Data","Iheart","","","","Simpletext","NA","Data-Data Only - No Appt","32","0","No Answer","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Superseded","","Given0011","376591","(555)555-0011","","","","",",","","2/2/2026","","NA","0","","Data","Iheart","","","","Simpletext","NA","Data-Data Only - No Appt","69","1","No Answer","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","","Given0012","396898","(555)555-0012","","","","",",","","2/2/2026","","DNC","0","0","Data","Iheart","","","","Simpletext","DNC","Data-Data Only - No Appt","12","0","Asked DNC","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","","","396976","(555)555-0013","","","","",",","","2/2/2026","","NA","0","0","Data","Iheart","","","","Simpletext","NA","Data-Data Only - No Appt","32","0","No Answer","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","","","396995","(555)555-0014","","","","",",","","2/2/2026","","NA","0","0","Data","Iheart","","","","Simpletext","NA","Data-Data Only - No Appt","33","0","No Answer","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
"Out-of-Area","","","396995","(555)555-0015","","","","",",","","2/2/2026","","NA","0","0","Data","Iheart","","","","Simpletext","NA","Data-Data Only - No Appt","33","0","No Answer","0.0000","0.0000","","","Dana Whitfield","2/1/2026","2/28/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:58 PM","True","ALL"
