"Category","lastname","FirstName","id","Phone","Address1","city","state","Zip","CSZ","Email","entrydate","productid","lastresult","clq_id","cqd_id","dsp_id","src_id","sds_id","brn_id","PromoterName","SourceSubDescr","lr","dspdescr","NumDials","NumSuperseded","LastCallDescr","GSA","NetAmount","ApptDate","JobStatus","FullName","SDate","EDate","xsrc_id","xbrn_id","xSourceSubDescr","xPromoter","CurrentDateTime","UseColor","xGrade"
"Out-of-Area","Surname0000","Given0000","388956","(555)555-0000","","Titusville","FL","32796","Titusville, FL  32796","person0000@example.com","1/1/2026","","NA","0","0","Data","Internet","","","Internet, Lead Gurus","Lead Gurus","NA","Data-Data Only - No Appt","7","0","No Answer","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0001","Given0001","388898","(555)555-0001","101 Sample St","Monticello","FL","32344","Monticello, FL  32344","person0001@example.com","1/1/2026","Win","OOA","0","0","Data","Internet","Nash","","Internet, Lead Gurus","Lead Gurus","OOA","Data-Data Only - No Appt","8","0","Out of Area","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0002","Given0002","389046","(555)555-0002","102 Sample St","Sebring","FL","33875","Sebring, FL  33875","person0002@example.com","1/1/2026","","NA","0","0","Data","Internet","","","Internet, Lead Gurus","Lead Gurus","NA","Data-Data Only - No Appt","45","0","No Answer","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0003","Given0003","389048","(555)555-0003","103 Sample St","Orlando","FL","","Orlando, FL","person0003@example.com","1/1/2026","","OpInt","0","0","Data","Internet","","","Internet, Lead Gurus","Lead Gurus","OpInt","Data-Data Only - No Appt","4","0","Op Intercept","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0004","Given0004","389044","(555)555-0004","","","","",",","person0004@example.com","1/1/2026","","OpInt","0","0","Data","Internet","","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","OpInt","Data-Data Only - No Appt","3","0","Op Intercept","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0005","Given0005","389154","(555)555-0005","","","nu","",", nu","","1/1/2026","","OS","0","0","Data","Internet","","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","OS","Data-Data Only - No Appt","1","0","Can't Do Project","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0006","Given0006","389149","(555)555-0006","106 Sample St","Okeechobee","FL","34972","Okeechobee, FL  34972","person0006@example.com","1/1/2026","","NI","0","0","Data","Internet","","","Internet, Lead Gurus","Lead Gurus","NI","Data-Data Only - No Appt","12","0","No Interest Now","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0007","Given0007","389319","(555)555-0007","","","","",",","person0007@example.com","1/2/2026","","AM","0","","Data","Magazine","Nash","","Magazine, Best Picks","Best Pick","AM","Data-Data Only - No Appt","86","0","Answering Machine","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0008","Given0008","389171","(555)555-0008","108 Sample St","Lake Wales","FL","33898","Lake Wales, FL  33898","","1/2/2026","Roof","NA","0","0","CXL","Affiliates","LAKE","","Affiliate, LeadPilot","LeadPilot","NA","CXL-Cancelled Appointment","50","0","No Answer","0.0000","0.0000","1/2/2026 6:00:00 PM","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Superseded","Surname0009","Given0009","389176","(555)555-0009","109 Sample St","Rockledge","FL","32955","Rockledge, FL  32955","person0009@example.com","1/2/2026","","","0","","Data","Affiliates","Nash","","Affiliate, LeadPilot","LeadPilot","","Data-Data Only - No Appt","0","1","","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0010","Given0010","389413","(555)555-0010","","","nu","",", nu","","1/2/2026","","NA","0","0","Data","Internet","","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","NA","Data-Data Only - No Appt","42","0","No Answer","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0011","Given0011","389055","(555)555-0011","111 Sample St","Palm Bay","FL","32907","Palm Bay, FL  32907","person0011@example.com","1/2/2026","","OOA","0","0","DNC","Internet","Nash","","Internet, Lead Gurus","Lead Gurus","OOA","DNC-Do Not Call","3","0","Out of Area","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0012","Given0012","389058","(555)555-0012","","","","7660",",     7660","person0012@example.com","1/2/2026","","NA","0","0","Data","Internet","","","Internet, Socius Marketing","Bing PPC","NA","Data-Data Only - No Appt","45","0","No Answer","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0013","Given0013","389057","(555)555-0013","","","","7660",",     7660","person0013@example.com","1/2/2026","","NI","0","0","Data","Internet","","","Internet, Socius Marketing","Reecewindows.com","NI","Data-Data Only - No Appt","3","0","No Interest Now","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0014","Given0014","389128","(555)555-0014","114 Sample St","Daytona Beach","FL","32117","Daytona Beach, FL  32117","","1/2/2026","Roof","DNC","0","0","Data","Affiliates","Nash","","Affiliate, LeadPilot","HR Leads","DNC","Data-Data Only - No Appt","1","0","Asked DNC","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0015","Given0015","389315","(555)555-0015","115 Sample St","West Melbourne","FL","32904","West Melbourne, FL  32904","","1/2/2026","","OOA","0","0","CXL","Affiliates","Nash","","Affiliate, MVP Marketing","MVP Marketing","OOA","CXL-Cancelled Appointment","6","0","Out of Area","0.0000","0.0000","1/5/2026 2:00:00 PM","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0016","Given0016","389209","(555)555-0016","","Cane Valley","KY","42720","Cane Valley, KY  42720","person0016@example.com","1/2/2026","","OS","0","0","Data","Internet","","","Internet, Lead Gurus","Lead Gurus","OS","Data-Data Only - No Appt","1","0","Can't Do Project","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0017","Given0017","389347","(555)555-0017","117 Sample St","Oak Hill","FL","32759","Oak Hill, FL  32759","","1/2/2026","","OOA","0","0","CXL","Affiliates","","","Affiliate, MVP Marketing","MVP Marketing","OOA","CXL-Cancelled Appointment","1","0","Out of Area","0.0000","0.0000","1/3/2026 2:00:00 PM","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0018","Given0018","389472","(555)555-0018","","","","",",","","1/3/2026","Win","OOA","0","0","Data","Magazine","","","","5 Star","OOA","Data-Data Only - No Appt","1","0","Out of Area","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0019","Given0019","389552","(555)555-0019","","","","",",","","1/3/2026","","OS","0","0","DNC","Magazine","Nash","","Magazine, Resource Living","Resource Living","OS","DNC-Do Not Call","4","0","Can't Do Project","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0020","Given0020","389560","(555)555-0020","","","","",",","","1/3/2026","","BZ","0","0","Data","Internet","","","Internet, Googgle PPC Windows","Google PPC Windows","BZ","Data-Data Only - No Appt","38","0","Busy","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0021","Given0021","389584","(555)555-0021","","","nu","",", nu","person0021@example.com","1/3/2026","","","0","0","Data","Internet","","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","","Data-Data Only - No Appt","0","0","","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0022","Given0022","389642","(555)555-0022","122 Sample St","Miami","FL","33145","Miami, FL  33145","person0022@example.com","1/3/2026","","OS","0","0","DNC","Internet","Nash","","Internet, Lead Gurus","Lead Gurus","OS","DNC-Do Not Call","1","0","Can't Do Project","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0023","Given0023","389444","(555)555-0023","123 Sample St","Palm Coast","FL","32137","Palm Coast, FL  32137","person0023@example.com","1/3/2026","Win","OOA","0","0","DNC","Internet","Nash","","Internet, Lead Gurus","Lead Gurus","OOA","DNC-Do Not Call","9","0","Out of Area","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0024","Given0024","389646","(555)555-0024","","","nu","",", nu","person0024@example.com","1/3/2026","","","1","26","Data","Internet","","","Internet, Chat (REECE WEBSITE)","Chat (REECE WEBSITE)","","Data-Data Only - No Appt","0","0","","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
"Out-of-Area","Surname0025","Given0025","389643","(555)555-0025","","","nu","97601",", nu  97601","person0025@example.com","1/3/2026","","TX","0","0","Data","Website","","","Internet, Socius Marketing","Customer Referral","TX","Data-Data Only - No Appt","30","0","Trans to 3rd Party","0.0000","0.0000","","","Dana Whitfield","1/1/2026","1/31/2026","ALL","ALL","ALL","ALL","8/7/2026 3:00:49 PM","True","ALL"
