"Grouper","NumIssued","NumSale","NumNetIssued","NumSat","GSA","NumNet","NSA","NumJobs","NumJSC1","NumJSC2","NumJSC3","NumJSC4","NumJSC5","NumJSC6","GSAJSC1","GSAJSC2","GSAJSC3","GSAJSC4","GSAJSC5","GSAJSC6","NumWorking","NumCD","NumCancelled","NumHold","GSAWorking","GSACD","GSACancelled","GSAHold","NSLI","ClosingPct","OTDPct","STDPct","jbs1","jbs2","jbs3","jbs4","jbs5","jbs6","jbs7","jbs8","jbs9","FullName","SDate","EDate","CurrentDateTime","UseColor","xBrn_id","xSetter","xProductid","xGrouper","xSortBy","xGrade"
"BOCA","763","105","640","523","2717232","58","1404567","104","19","2","25","38","19","1","350569","31780","644795","1042333","562340","85415","1","19","25","2","85415","562340","644795","31780","2194.6359","0.0906","0.1376","0.2007","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"FTLAU","463","59","368","300","1501631","32","672168","59","13","2","20","19","1","4","287394","57130","708503","365024","19383","103825","4","1","20","1","103825","19383","708503","17483","1826.5434","0.0869","0.1274","0.1966","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"FTMYR","3940","901","3036","2670","23060059.15","617","15754159.15","889","225","15","140","389","88","32","6633380.15","281745","3843491","9126177","2263853","911413","34","88","140","11","1017261","2263853","3843491","205002","5189.1169","0.2032","0.2286","0.3374","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"JAX","1135","242","890","757","5418357","125","3027548","238","57","7","52","61","49","12","1418934","141778","1120788","1446540","1067448","222869","11","49","52","5","179746","1067448","1120788","84632","3401.7393","0.1404","0.2132","0.3196","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"LAKE","439","107","347","308","2003890","60","1072077","106","11","5","29","46","13","2","162974","73232","570690","840301","304372","52321","1","13","29","4","15675","304372","570690","59526","3089.559","0.1729","0.2437","0.3474","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"MIAMI","216","22","178","120","505977","9","150295","22","3","1","6","6","2","4","29794","9921","177931","120501","61723","106107","4","2","6","1","106107","61723","177931","9921","844.3539","0.0505","0.1018","0.1833","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"ORL","2948","682","2223","1927","13443558","408","8261839","675","128","22","150","274","88","13","2842943","401482","3075076","5357428","1604210","208038","13","88","150","18","208038","1604210","3075076","353503","3716.5267","0.1835","0.2313","0.3539","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"RFED","7","1","6","4","5490","1","5490","1","0","0","0","1","0","0","0.0000","0.0000","0.0000","5490","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0.0000","0.0000","915","0.1666","0.1428","0.25","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"SAR","1783","485","1357","1188","12801486","338","9298896","472","91","36","73","237","17","18","2834287","902608","1993957","6210989","436399","423246","17","17","73","28","375793","436399","1993957","722094","6852.5394","0.249","0.272","0.4082","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"STPET","3747","839","2979","2708","19652455.05","602","14472062.13","827","164","31","133","426","56","17","5031506","650584","3140126.92","9232206.13","1192923","405109","15","56","133","22","357959","1192923","3140126.92","516033","4858.0268","0.202","0.2239","0.3098","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Mark Richard","1/1/2026","9/2/2026","8/5/2026 2:33:59 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
